	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
arrestation	0.000506412452375966	0.022155156144774257	0.01398952353509538	-0.01635634055921693	0.00696954146404724	0.0011495194256575904	0.006626758872354727	0.0025369456799950443	-0.008947753657640275	0.03007445033623788	-0.03271461592797336	0.0004397293176312108	-0.05321898962066093	-0.2657616963355856	0.018254263524709765	0.003940052177689803	-0.0058502871161075585	0.006131125527025409	-0.003207750933155353	-0.00018496005764169048	0.0043561235101708205	0.003222699854818317	0.0029847963594358314	-0.0004038553671536302	0.0006463883488460857	-0.0007389444921468044	0.001333620356222122	0.0035926172538451803	-0.0020946847059710285	0.0021986130204397604	0.002852740508685545	-0.0026868931497014293	0.005066205981245947	-0.0025132934576072583	0.0010868961130231754	0.0015152937205056166	0.0010957442233069964	-0.0001440412377929056	0.005102920701155194	-0.0012461541551885896	-0.00509235365393155	0.0041976004057118835	0.004613827083236256	-0.006525585170848587	-0.001247332769852309	0.0009377983175497775	-0.0023499139203765626	-0.004454364017962407	0.0005385875617133064	-0.007258784707444008	0.002417627879472569	0.00011251022903426146	-0.019262408023000555	-0.023264496918617372	-0.007913468599296694	0.013826975142576917	-0.007285160932475943	0.012788051053255953	-0.011230697203116164	-0.00010210081226311937	9.502366905051596e-05	0.0014143184778813195	-0.0004366716824359127	0.0008641862796410519	-0.007659218161171983	-0.0011960198547829514	7.242726708751351e-05	0.0038625950962085666	0.0004930370682387897	0.0004959725317793211	0.0021404765157376016	-0.0011377257498491804	-0.00257550642089296	-0.001294279875953963	0.00031946718594365607	-5.513218373335692e-05	0.0012844316862230603	0.0034347564359680284	0.0019448835776841803	-0.0025186099881088497	0.012661793632675486	-0.001950480081247005	-0.002835061996757038	-0.0030752486749317442	-7.114748007320692e-05	0.009584578623807544	0.0008918781681824429	-0.0008251062080147567	-0.0024742102174069593	0.003207609216677473	0.0023939385639973865	-0.00018902140982954714	0.0008016410208438983	0.00012211434523336516	-0.0016190090665673352	-0.01750914647188779	-0.01172335359678208	0.014921121319478557	-0.0014098718511656066	-0.000264492895873542
Michel	0.0005064124532577065	0.022155156143269836	0.013989523535157256	-0.01635634055889535	0.006969541463010612	0.0011495194259632797	0.006626758873923268	0.0025369456807351584	-0.008947753658245588	0.004281872159603749	0.009369879516046502	-0.0042624656957417194	-0.003959599902719879	0.005620247532349187	-0.005228072878475553	-0.0034699976648384194	0.00534299865281465	-0.008036212182097354	0.0059881337043923046	0.00035882529098176354	-0.008091855404969244	-0.006158377134777393	-0.006621844827183488	-0.005353480109308153	-0.0014705424323854283	0.0016399832853328988	-0.001339018949409082	-0.00881040059343703	0.005306537995368248	-0.003956651419861741	-0.007952232171398326	0.0056955634421233135	-0.009504741820141943	-0.0029384522416906617	-0.0021909245657328836	-0.0018200395777204204	0.0006567975818026602	0.005372568256641818	-0.007240516920945956	0.004813335380691572	0.007955296769374806	-0.019983852461640576	-0.007568818757307642	0.015959132876181326	0.003136729801826758	-0.005645059667685081	-0.001563620696633699	-0.004944872501025998	0.0030552794675605373	0.014791825023452335	-0.00553142617304163	-0.0036597625566498707	0.01420137604619088	-0.0018900884244770488	-0.002031045193295709	0.012189995718589086	-0.012694987868948633	0.022873805012487786	0.0043225316694377024	0.0033266968434078636	-0.015399312528547423	0.003003959813103237	0.0058357464855270475	-0.009605502033152788	-0.020700083641759237	0.007321394579034819	0.004164281005972439	-0.05930491055356458	0.015433090459956049	0.01013703509343924	-0.028265956824956168	0.036897546940500035	0.04364737640351154	-0.005565486139019289	-0.29025088821438183	0.17884453589829608	-0.26609942060017994	0.2231828713082444	0.03731494123183663	-0.04938000185681796	0.02436967309858882	-0.015425022603328745	-0.06101891334519247	-0.07220714724326341	-0.003633262927512004	-0.012074927441496375	0.0027483536194866935	-0.00013270181449536508	0.004299185027320684	0.0035920177906290686	-0.002692205059445986	0.0012910473615179452	0.005092352934525081	-0.003005761564961453	-0.0020785106115930154	-0.029486137966589165	0.0040070118805245	0.03869273303454798	-0.003161647420503952	0.002333330284952329
Meuse	0.0005064124532960602	0.022155156143248738	0.013989523535093156	-0.01635634055895374	0.006969541462971364	0.0011495194259776415	0.006626758873980306	0.0025369456807595825	-0.008947753658309916	0.003971100164665665	0.009881155016162747	-0.004363426628983377	-0.003424783575717752	0.0061571925391998295	-0.005616349708964626	-0.004899445000904358	0.006643213680894599	0.0297124946632585	0.0003968177214649293	4.834347124327981e-06	-0.0010765648256881744	-0.003004773247343424	-0.005472525385196315	-0.004112439905041644	-0.0005265631712216582	0.0058932345494091	0.004941614244561196	-0.012674017269542787	0.010400711486416189	-0.0036072951919370235	-0.014648077368797176	0.010104164598675688	-0.014996904065338256	-0.0231524919975888	0.022732569454898797	-0.008923083539794822	0.026657345384679565	0.09014733704253604	0.12085374513080278	-0.01800844084425222	-0.01246376300376307	0.049380200873574816	-0.014611948316035671	-0.004300113188215018	-0.007202435489933649	0.022649479066242723	0.04192663775801178	-0.0029356553284195447	0.0012351189458521166	-0.003387794868945783	0.012108121983597796	0.0053785964796719266	-0.0135144859627016	0.0027906696033348395	0.002390821887405482	-0.029106615747971208	-0.007359266592288493	0.004641062653908025	0.00046244263894527904	-0.0015862626926504344	0.0020159650503780518	-0.0040378717599395455	-0.06581495148592147	-0.03070752962430949	-0.003321195033310571	0.003135807031220028	0.0016312447397311852	-0.04947664845166908	-0.16166474780202095	0.022780381792786162	0.03629490831698387	-0.013780263124266957	-0.03287303087570746	-0.014599127414000396	-0.00011215585318687235	0.002655651262234663	0.006131904656371545	0.004718120146874566	-0.025145804601311387	-0.006730530496540153	0.01014105781118992	-0.006656189969917297	-0.024926470124033054	-0.030185347211616108	-0.00026615427666020484	-0.025311301449575906	-0.016259027760399006	-0.04404087702454286	-0.012960025953372069	-0.012112662045805944	0.027571379742661335	-0.00451546367812078	-0.007086570068816488	0.0010860782484289633	-0.04009966754518779	0.031496868628296926	-0.012222863062721639	-0.005767615773332679	0.0011088179848250809	0.005257362786833074
  	0.0012475268775260838	0.01891823968235479	0.01683913288282146	-0.016738826842352453	0.006840621383256746	0.002599373845204594	0.006135899313339792	0.002605514228911765	-0.009240995893032844	0.004130676965599829	0.009289628298744402	-0.004192013238283325	-0.0038980100539337675	0.005629363570145485	-0.005221362841745878	-0.0036645832396026328	0.005443079914575991	-0.007467079245724577	0.0061681590731697995	0.000418699127834927	-0.009039059624693594	-0.007065368063314285	-0.009100935835339611	-0.008794428540086831	-0.0022939258008189477	0.0032477857937764807	0.0005049800038018049	-0.02561523980482824	0.01996771401195564	-0.01676016112728595	-0.08047272491143276	-0.1485134746326719	0.10645981864784859	0.014081821407507368	0.023453800134051926	0.015259996693639139	0.00028375414613271443	-0.0016060018461956961	-0.008364942391905144	-0.0008841237388762396	-0.0013668920375485942	0.00897119662562992	-0.0027975107826317906	-0.0002155623192588059	-0.019452206958998096	0.0037414565117659736	0.004715132014915054	5.708584850756121e-05	-0.0024277363137361024	-0.001730049022205438	0.006412514101330327	0.008931005014358876	-0.018911542340292704	0.028972043758573478	0.006173148476561653	0.014347811985474187	-0.003759290811470412	0.005733131300995283	0.0016782041226667231	1.560663644802373e-05	-0.0013577976931545067	0.00029279660849132623	0.0003205918839889549	-0.0009498827432884235	-0.0004134894192287207	0.0005653255900612889	0.00015842343199587281	-0.0019532863947251938	0.0004942040638312192	-0.000968525102420692	0.0011448230535604253	-0.00025936169587864946	-0.0010397345909805102	-0.0007764313024314401	-0.006629518197133038	0.0019953458157073727	0.0013990637544887428	-0.006183445483565777	-0.002380102993007907	0.002528499908405809	0.02646411297848579	0.23425994962851232	-0.02554721576786802	-0.014960624961411708	0.001054376334820985	-0.0005390003622266666	-0.0020631760034181606	0.0003500327104536473	0.0007173552041047485	0.0011079852312331656	-0.00021071520348187132	-0.00014039812120288808	0.0007019189772213433	0.00080174269115963	0.0009935389709318193	0.0037068621304729224	-0.00022353245905457064	-0.004605887276439647	0.0002880955609938041	0.00019529959272345012
lynchage	-0.04666333225092033	-0.06463899222408304	-0.08456792987639357	-0.09704054270872658	-0.17399182961955945	-0.04480207305868906	0.09651162528196199	0.11702230629951735	-0.22091058354183993	-0.0001499727591617872	-0.00031349931989959473	0.0001448087124630912	0.00013707742964193248	-0.00019003025999864143	0.0001792633731742023	0.00011127239551895086	-0.00018446139033172562	0.0003441550704211035	-0.00023328136500091416	-1.1585133642967127e-05	0.00028431894752777454	0.00022391855814478737	0.00018109016766684142	0.00021562831885992868	7.212498417479853e-05	-6.569892328393487e-05	0.00016821551943293914	0.0003084562074686676	-0.00014838042489380377	0.00019326209876832428	0.00031024038918292356	-0.0002615759599199161	0.0004811465567545921	6.503901339160361e-05	0.0002944812878413806	0.00011654806961364532	0.00011248626238916115	-9.205139402783185e-06	0.0007965860250290432	-0.0003766035532155507	-0.0006316321543543037	0.0013666436323622648	0.0011673480975650692	-0.001899235826965549	-3.072540679507842e-05	-0.00034290957004401413	-0.0020989977274633365	0.003932237684701184	0.002267865904277159	0.006520981788862674	0.0005298213807134323	0.0006744666829329054	-0.00014117166452219318	-1.3218978703467832e-05	-0.00040565708566217204	6.534275168635847e-05	-0.0001380218930100638	0.00020968933107707102	-6.716882671488345e-07	-0.0002859312756292153	-0.00013777088050113948	-0.0001459118267551655	6.897857179172045e-05	-0.0002136098071693676	2.695791302315814e-06	6.33864120521588e-05	-2.6275749975687186e-05	2.696325073992239e-05	-2.4968598566401192e-05	-6.408881561196611e-06	2.404813133725578e-05	-1.0602317629082939e-05	-2.105869437557745e-05	-6.760509109147387e-06	-1.0383711249531261e-05	1.199641158869654e-05	7.118289981918871e-06	4.732117360483224e-05	2.1589355597489198e-05	-1.0261029761567467e-05	-9.264678253510794e-06	-2.3060842815912207e-05	-0.00032763341798788207	0.00013767185639609446	-2.1772111123811522e-05	-1.3992347113240058e-05	1.2942304750255358e-05	-2.4486245017961428e-06	2.3139595397964584e-06	-2.099238152739047e-06	-1.4532309344662125e-06	7.507361399197374e-07	-0.0002131868155384629	-6.498249132692928e-06	-8.009800326594721e-06	-0.0002667075449751914	6.264584220606884e-05	0.00039611320058354285	-3.6818375986576385e-05	4.6442349532983015e-05
excès	-0.3701503264690723	-0.08497833842847777	0.020424267045679782	-0.02915615915810754	0.07900480314747037	-0.006090275071122482	0.0025289554152182914	0.022645925039277582	0.00026386783250587076	-1.9113460814068617e-12	2.2581242431485293e-12	-7.920487182788705e-13	-2.237571239405156e-12	3.7114755713218983e-13	1.4007892068512717e-13	6.069285699017435e-13	-2.1009062545207513e-13	2.9922245237123946e-13	-1.8264903478559802e-13	-4.199142119090671e-13	1.1261477861346236e-13	4.181230014999038e-13	3.3742973692962863e-14	2.7540610850890213e-13	2.8471821254816287e-13	4.9559488457529e-13	9.404651536704112e-14	-3.7599263980059305e-14	-9.89919951566165e-14	2.958397415930847e-14	7.387450026707931e-14	2.8156296738579556e-14	1.4791119717916246e-14	3.529294911874814e-15	-1.6418724019251485e-14	4.572297401805869e-14	-2.1714184270105186e-14	-7.877704565062427e-15	6.401129626354418e-15	2.259043646590797e-15	-2.146026412130908e-14	-1.023053169957322e-14	2.228685985761203e-14	3.128920733619367e-14	-2.7973283411864003e-14	-1.5337123931979946e-15	1.7277845820728999e-15	-1.7218865222545787e-14	5.227155513987114e-15	-2.2298135560205878e-14	9.564397884798126e-15	3.401632816570077e-14	7.983197436445266e-15	-1.5834555888716295e-14	1.833602714107485e-15	5.734995811579324e-15	1.987993103469421e-15	2.2690183065776637e-15	-7.461045670176247e-15	-3.366447745567491e-17	-1.1958614437243553e-14	-2.0706093090128164e-15	6.833509452741637e-15	-8.49450718098943e-15	-9.246076126956382e-16	6.241535066564552e-15	5.519673260123703e-16	3.4529670789318345e-15	4.475694988237411e-15	-3.2491370705045597e-15	3.7214155368392454e-15	-3.665470704738993e-15	-5.039805378581619e-15	-6.7326786507004854e-15	-7.438169004336803e-15	-3.242726725159739e-15	2.0779818837857178e-15	-1.0737938316296436e-15	-3.7816971776294395e-16	-1.8318679906315083e-15	-3.469446951953614e-16	1.5638532135930916e-15	-1.6757428777935957e-15	2.8731357570865868e-15	3.2867317808354946e-15	-2.411265631607762e-16	1.5872719805187785e-15	4.0462425077159025e-16	6.245004513516506e-17	5.767955557622884e-17	6.700369425960417e-16	2.9481896524768958e-15	7.177418381854039e-16	2.2159466102344982e-15	8.131516293641283e-17	-1.061650767297806e-15	-9.367506770274758e-16	-1.547373340571312e-15	2.747368305078268e-16	1.3049457348035531e-15
Malasomma	0.0005064124528320151	0.022155156131905357	0.013989523534832106	-0.01635634056028162	0.006969541450401385	0.0011495194246024499	0.006626758885317857	0.0025369456805337193	-0.008947753663970891	-0.12692316081526614	-0.06794054640850619	0.013987295894927336	0.0025581983845894066	-0.004440562590456748	-0.04359143501270236	-0.010814961637484983	-0.04130877311136725	0.0014884983667776581	-0.002849650928719755	-0.17583971440033755	-0.014081256225848724	-0.0002084939059957525	0.00016886720517173773	0.0005852177919788899	-0.010962537131637133	0.0002947385695275498	0.00023283698483698165	-0.000109888822667882	5.783588321302204e-05	8.438823479328715e-06	3.664728381232727e-05	9.980217606566505e-05	0.0003777089011545742	0.00013884455777991508	-2.949319862923232e-05	7.471110054976609e-05	-0.00010813705989978946	-0.00045499684574201943	-0.00019022359235036342	-0.0002108419325310407	-0.00011099174559898789	0.0023902758357754335	0.0009344003220773094	0.004248473569934724	0.0005446490860622428	-0.0009147565995186646	-0.0007717899487181617	-5.741224112764884e-05	0.0003602575445313611	0.00014305956926100385	-0.0007454785176827265	0.00017288782333813515	0.00083314609799999	-0.0002390084133021518	0.00017363716238939612	0.0005035265420771876	-0.0006029491587400595	0.0008001191980825158	0.00046047610352739025	0.00020638964027380318	-7.111834632493445e-05	0.00044513419665180695	6.78041953928836e-06	0.00026266371384330836	-0.00030541135039845093	-0.00018769532232079536	0.0002867667161402499	-0.002891483708151345	0.0002984188536654783	-0.001716503071237257	-0.017374885215206033	-0.010259544312149054	-0.012456444566614544	-0.0007494622614097745	-0.0005548179586574474	0.0002539636250838229	0.0005320903470274706	0.00036545227975581795	0.0008127291375847525	0.00015372983025872269	-3.10095876260184e-05	0.00010810109485898936	0.0005074509548696063	0.0006820328078845589	6.061527091478339e-05	0.0009150225757907811	-0.0010185175865118532	0.002144052637675671	0.0015408855504124976	-0.0004961386410574635	9.839625896943807e-05	-0.04316173792257696	0.001144413135516323	-0.0011028348706882813	-0.00040188048425064357	-0.0018110832703858038	0.00020258027468275566	0.002692648133766052	-0.0002053416971052361	0.00012488327895795773
sapone	0.0005064124532932423	0.022155156143230083	0.013989523535124889	-0.016356340558881622	0.006969541463003988	0.00114951942597524	0.006626758873908985	0.0025369456807485652	-0.008947753658228353	0.004223305160946933	0.009554469634386345	-0.004306843102061108	-0.004028292455244574	0.005835442782937517	-0.0053742040629294364	-0.0038822554755870323	0.005748001687819688	-0.007955079332650893	0.006289719911194383	0.0004965255199876129	-0.009940415371703449	-0.008104078806030245	-0.011091860481272888	-0.015020203246182402	-0.00025987651214582383	0.009817714496636577	0.04548235503154649	0.04636592048737376	-0.008561107171905096	-0.0020827435510256944	-0.019250518791951905	0.1525747901388632	0.1886447120020373	0.011702929040544307	-0.001068867234213663	0.003415443133627946	-0.00521913524324886	-0.01722210282162133	0.0055361668008443365	-0.013206836232265342	0.0006335659308900161	0.014677389036783372	0.003051362614082267	-0.009608544932855623	-0.003203547599432092	0.007298958081635594	0.007332604499998699	0.002396834098800622	-0.0005328236234382199	-0.01269869816727957	0.0008973199914014526	0.05778908455345495	0.01686166746843343	-0.0048686000816871265	0.0006143606895491604	-0.008650283055461817	0.09665891886767863	0.06426724883674098	0.006993686439811226	0.0013811776573449696	-0.005129407961925331	0.0011949663617837564	0.0011614830231019414	-0.002387840443831364	-0.0016062512017667192	0.0012877281975185151	0.0011195972850283394	-0.008689748665510985	0.0028409371984824267	-0.004430681634350316	0.0020229492796320584	-0.0011655049109345198	0.002015187435147912	0.00033844128019145444	0.0012621879083874806	0.0023446596662471293	-0.0005612299991762652	-0.0015348459211555377	-0.0006340599032913397	4.486086543984097e-05	-0.0024430145241270042	0.00048052117946039904	0.0013705393630308452	0.0015806516902888686	0.0008469888853721439	0.00036856804306020004	-0.003156410745859573	0.000603551892881365	0.0005203948529430443	0.0022737323774243163	0.0004283721889419619	-0.003267519394126388	0.0029094332059940347	0.2268433806029308	-0.00397967651812749	-0.006394517597683869	0.00042422503498486773	0.005061344816601691	4.4465826102885794e-05	-0.0005004373518955068
Tra	0.000506412453338393	0.02215515614333643	0.013989523535182551	-0.016356340558577757	0.0069695414627151	0.0011495194260694862	0.006626758873807011	0.002536945680933783	-0.008947753658281377	0.004357138749522073	0.009552740314028165	-0.004359701166743115	-0.0043049994573132605	0.006171866143949378	-0.005934112816194248	-0.004394630857735229	0.006958994962657514	-0.017369532924963405	0.019003435013124327	0.0014406175729080846	-0.03474233223169418	0.21833492544526586	0.016229210480548654	0.0019142555691652947	0.0003364453653366821	-0.0003052876396140135	0.00017443178982538203	0.0007777389720245438	-0.00029603438875042197	9.234073083884018e-05	-2.9983749091222348e-05	0.0001788182122912244	-0.0003694069184194187	-0.00019994328510834552	-0.00015591096575580876	-0.00014049543265516628	5.382467259248372e-05	0.0004473761496414164	-0.0006421809265322958	0.0004578044589404367	0.0007919884654377248	-0.002266359869007492	-0.0008829627415594208	0.0018932294286826993	0.00038328632239572106	-0.000695610530839712	-0.0001578580209159327	-0.0006425387517324235	0.0004180542481463888	0.001861061825831423	-0.0006996019233964958	-0.00045460866659032873	0.0016092229352132337	-0.0004270454465849227	-0.00034308767028889964	0.0016150567070493315	-0.0014848894734121182	0.0025741971003080955	0.0008976549612823015	0.00036222066300382476	-0.001834058739292557	0.0002575828788240112	0.0005529991802524901	-0.0013554196936873468	-0.0008077680240954773	0.000749851196527047	0.0005082249106355412	-0.005413825802345785	0.0012980010074847377	0.0005524834078246652	-0.0014402571519836443	0.0016796585526717752	0.001644744840582291	-0.00013095282331996542	-0.004204285437463927	0.001183608441150072	-0.00042768220261162255	-0.004770959678410944	-0.0015013090055257057	0.0004561373673227843	-0.0014034699699135705	0.001045685915070431	0.004592090854242647	0.0059876023680577395	0.0004063791355287921	0.0016053714671111158	-0.00042134910454471946	4.054228942912316e-05	-0.0007021163626161708	-0.0006270206529595196	0.0004807492669460538	-0.00025425950446753606	-0.0011015967845181	0.000745096498254697	0.0007782748149492719	0.01284697918028514	-0.002275347623570194	-0.019114484114964123	0.001801740420056523	-0.0017777554208973138
Giuseppe	0.0005064124530673954	0.022155156140728903	0.013989523534975616	-0.01635634055964236	0.0069695414595949395	0.0011495194253609193	0.006626758876262576	0.0025369456805420377	-0.008947753659502723	-0.027556299608790753	-0.008744428736294479	-0.00018167776432198804	-0.005521271450228744	0.010016200185538865	0.08475985396976982	0.0011040308094639262	0.0036112554586098695	-0.002359663435957473	0.0020808150652023927	-0.00011956647928957392	-0.003222471900242209	-0.0025841212929563497	-0.003565344636675177	-0.004567606657561543	0.0526139238952031	-0.001019302159341394	-0.001109409066962505	-0.0035711930428212104	0.0024511968861859043	-0.001464867169951364	-0.0038640792688316786	0.0014480505155085588	-0.006885410027473849	-0.003096419816955791	0.0005722884643361555	-0.001192462745531262	0.0024182709500048406	0.008273983574957192	-0.0008016936751082835	0.003575924199567547	0.006784470450245187	-0.07406329171053336	-0.021282603219674123	-0.11964468233909446	-0.012458343730606173	0.018696004479128232	0.012274252420340795	0.0020563057398233753	-0.004550262456029657	-0.00530643478342765	0.006727447355654817	0.003269780533275565	-0.006623292127145313	0.0017467743308896555	-0.000695210330349339	-0.004523366200453592	0.003215595899030606	-0.007041541180607212	-0.002821679800489853	-0.0010493066722541981	0.0015890351665287421	-0.001706879656644434	-0.0002329070601829447	-0.00014042321754239868	0.001302033662331851	0.0006468947302710427	-0.0007791501864515444	0.008087143291142098	0.00356715010342047	0.029335967224328793	0.059078421832724666	-0.06235683021256443	0.07955853344250109	0.004952920490630753	0.0010199413932393433	-0.000751600232931709	-0.0010081830809645425	0.001246042062723747	-0.0004260775129312461	-0.0004934136839784913	0.002366852975593665	-0.0008853174919509447	-0.003281342198132632	-0.004329475454574134	-0.00043741399459385584	0.003111205467969661	-0.004676380483469042	-0.000515793263073808	0.0063561141979074105	-0.014508386362930155	-0.007965665014607222	0.018410245002466314	-0.0007928580365846971	0.0012842469034925108	0.00032558699557635974	-0.00043141639777315817	4.075570559955205e-05	0.0006711245453730281	-0.00020837456068424843	0.0003103679191816418
