	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
 	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6594900340028494	0.0	0.0	0.0	0.0	0.04473824792615957	0.0	0.0	0.0	0.0	0.003602378446811771	0.0	0.0	0.0	0.0	0.0018536512685243106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00035601289895807725	0.0	0.005513657068208709	0.0	0.0	0.0	0.0	0.0025519384596813643	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0035008137474548603	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06249261413175767	0.0	0.0	0.0	0.0	0.312960399203105	2.711672979007985e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3608842022817001	0.0	0.0	0.0
l	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.058410418488423474	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015908735208217146	0.0	0.0	0.0	0.0	0.002348321666658741	0.0	0.0	0.0	0.0	0.0034355268097045304	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0157035519643982e-06	0.0	0.00034374649000305714	0.0	0.006155932879798081	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.605746783607612e-05	0.0	0.0	0.0	0.0	0.06648059725021303	0.0	0.0007563481015168189	0.0	0.0	0.0	0.17798253441404502	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01960334422927064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1940	0.0	0.0	0.0	0.277154393260177	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0026829372280178106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02267455779944264	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0020233139538488733	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00306287615104393	0.0	0.0	0.0	0.0	0.0
infinitif	0.23309761877435917	0.0	0.0	0.0	0.0	8.527956922900899e-07	0.0	0.0	1.1820431978296994e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.022577372401615774	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.079107778966152e-05	0.0	0.0	0.0	0.0	4.856373397308871e-07	0.1890780106934415	0.0	0.00014322385696793134	0.0	0.0	8.578973017515492e-05	0.0	0.0	0.0	6.177111653131206e-06	4.2296156073188075e-05	1.704769950576419e-05	4.812785979435925e-05	1.8512951345783267e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.332431879675319e-06	6.488138578625402e-05	0.0	0.0	0.0	0.0	2.943124775914793e-06	0.0	0.0	0.0	0.0	7.26125421431651e-05	0.0	0.0	0.0	0.0	0.002020697022019526	0.0	0.0	0.0	0.0	0.0	0.0	6.101478990657877e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.506372404016289e-05	0.0	0.0	0.0	0.01790921560872701	0.02780681733354904	0.0	0.00029911603271255986
moralement	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004748850756358076	0.0	0.0	0.0	0.04297081281225486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008709235597435376	0.0	0.1313967546583015	0.0	0.0	0.0	0.0	0.005645219172571362	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006519139731917972	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cour	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3338678067038146e-06	0.0	0.0	0.0	0.0	9.617395871754101e-07	0.0	0.0	0.0	0.0	0.0	0.0	1.709756872794762e-06	0.0	0.0	0.0	0.0	5.7411248654355176e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.7147918770620483e-07	0.0	0.2552929643908455	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.249261983068157e-08	0.0	2.065299822825097e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3858401771341192e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.2333537043489364e-06	0.0	0.0	0.0	1.0011179476569349e-08	5.657363027276068e-06	0.0	6.346237070154976e-07	1.987380221705884e-06	0.0	0.0	0.0	6.919957688538035e-06	0.0	1.0747243913980965e-05	2.4045706018397683e-05	0.0	0.0	0.0	1.3581201870472023e-05	0.0	0.0	0.0	0.0
détache	0.0	0.16444556631020005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04117072298308536	0.0	0.0	0.02869272580115075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008791941892313478	0.0	0.0	0.0	0.007598961309496639	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.864506333157276e-05	0.0	0.0	0.0	0.0	0.0	0.10793902137171152	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
écrit	0.0	0.0	0.0	0.0	0.0	0.0	0.0007756236343309082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000267954205820667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005972425890133512	0.010058822408424104	0.0	0.0	0.0	0.0	0.011594392832269837	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.038302549449758014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
signer	0.13926483143876547	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010973620484213213	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17282633949768397	0.0	0.0	0.0	0.0	0.0	0.05272088116842108	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003653523320589468	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008336499057473525	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
vague	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.299517497958534e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.820418397276272e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.048268546965133836	0.0	0.0	0.0	2.009268610540259e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2770520109100175e-05	0.0	0.0	0.0	0.0	0.0	0.0	4.443324875002512e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.030641086199994737	0.0	0.0	0.0	0.0
