	PCA_ncomponents_100	PPMI_PCA_ncomponents_100	PPMI_add1_PCA_ncomponents_100	PPMI_LocallyLinearEmbedding_ncomponents_100	PPMI_add1_LocallyLinearEmbedding_ncomponents_100	LocallyLinearEmbedding_ncomponents_100	simpleCount	PPMI_VarianceThreshold_threshold_005	PPMI_add1_VarianceThreshold_threshold_0005	VarianceThreshold_threshold_05	VarianceThreshold_threshold_04	VarianceThreshold_threshold_01	PPMI_add1_VarianceThreshold_threshold_0001	PPMI_VarianceThreshold_threshold_001	VarianceThreshold_threshold_03	VarianceThreshold_threshold_02	PPMI_add1_VarianceThreshold_threshold_001	PPMI_VarianceThreshold_threshold_0005	PPMI_add1_VarianceThreshold_threshold_005	VarianceThreshold_threshold_002	VarianceThreshold_threshold_001	VarianceThreshold_threshold_005	PPMI_VarianceThreshold_threshold_01	PPMI_VarianceThreshold_threshold_03	PPMI_VarianceThreshold_threshold_02	PPMI_add1_NMF_ncomponents_100	NMF_ncomponents_100	PPMI_NMF_ncomponents_100	PPMI_add1	w2v
0	danse	Maelstrom	Nord	fère	Spata	fluorosiliciqu	métropole	français	être	monument	peinture	académie	être	Mayotte	chemin	femme	français	Mayotte	ose	Red	métropole	prix	Paris	200	prix	Filmes	fontaine	2002).En	être	être
1	artistique	LSB.Pour	États-Unis	Côte-de-l'Or	inspirer	sodium	être	Paris	grand	États-Unis	record	mort	français	+1,9	femme	île	être	16000	mention	histoire	histoire	Edmond	16	Zambèze	Red	SystemLangue	Condorcet	édit	français	grand
2	financement	enitac	chambellan	Cissé5	dépression	golf	météo	États-Unis	français	SupermarketK	Vienne	édition	grand	Météo	 	haut	 	guid	guide	métropole	Red	Olivier	chambellan	marché	académie	portugal)sociéter	Chirac	LSB.Pour	Paris	film
3	Nord	Radiotéléphonie	19	nom	effet	août	climat	guerre	 	Vienne	Union	orchestre	Paris	chambellan	central	musée	histoire	météo	1861.La	partie	partie	danse	États-Unis	Vienne	artistique	Arche	Eyrolles	ffa	grand	nom
4	rtf	inféodé	campagne	Grafen	corde	silicofluorure	type	année	national	Union	français	prix	national	16000	2000	route	an	fim	Hétairiste	édition	type	Red	devenir	policierdurée	composition	Noé	prisme	Digital	national	français
5	cinéma	+5,48	actif	quasiment	rejeter	gouverner	partie	chambellan	année	industriel	militaire	25	États-Unis	guid	français	Paris	grand	Paris	actuel	cinéma	être	cinéma	partir	musicaleduré	danse	période,‎	Mongols	inexpérimenter	année	faire
6	arrondissement	7,1	type	Bordet	baron	athlétique	compte	national	histoire	peinture	États-Unis	recueil	 	météo	Paris	monde	année	Pre	innocenter	aide	édition	histoire	étude	dialectal	festival	léger	Pelliot	visa	an	an
7	aide	MHz	approche	accidentellement	Malcolm	Street	français	préhistorique	an	chengyu	mathématique	cinquième	année	fim	haut	histoire	national	inféodé	aucun	approche	approche	édition	national	UMagasin	Édouard	haut	Branly	nikki)réalisation	États-Unis	ancien
8	production	Balland	Europe	convalescence	Gladwell	bizertin	grand	général	ancien	record	Angleterre	université	ville	Leguèbe	route	Suède	ville	connétable	retirer	arrondissement	arrondissement	aide	mars	Amérique	financement	master	Johnny	ingérer	guerre	ville
9	société	Challanches	aide	1673	amuser	Sarmiento	histoire	devenir	partie	français	âge	danse	guerre	Pre	belge	âge	contre	Blu	10	type	national	parisrue	centre	complexe	Parayre	Fayard	p.].	Radiotéléphonie	commune	Aubusson
