	PCA_ncomponents_100	PPMI_PCA_ncomponents_100	PPMI_add1_PCA_ncomponents_100	PPMI_LocallyLinearEmbedding_ncomponents_100	PPMI_add1_LocallyLinearEmbedding_ncomponents_100	LocallyLinearEmbedding_ncomponents_100	simpleCount	PPMI_VarianceThreshold_threshold_005	PPMI_add1_VarianceThreshold_threshold_0005	VarianceThreshold_threshold_05	VarianceThreshold_threshold_04	VarianceThreshold_threshold_01	PPMI_add1_VarianceThreshold_threshold_0001	PPMI_VarianceThreshold_threshold_001	VarianceThreshold_threshold_03	VarianceThreshold_threshold_02	PPMI_add1_VarianceThreshold_threshold_001	PPMI_VarianceThreshold_threshold_0005	PPMI_add1_VarianceThreshold_threshold_005	VarianceThreshold_threshold_002	VarianceThreshold_threshold_001	VarianceThreshold_threshold_005	PPMI_VarianceThreshold_threshold_01	PPMI_VarianceThreshold_threshold_03	PPMI_VarianceThreshold_threshold_02	PPMI_add1_NMF_ncomponents_100	NMF_ncomponents_100	PPMI_NMF_ncomponents_100	PPMI_add1	w2v
0	universel	coll	arrondissement	Groenland	Orlan	04	histoire	arrondissement	français	fer	fer	Italie	français	coll	histoire	France	français	arrondissement	ose	histoire	histoire	Italie	arrondissement	200	2003	berenguiertaraudet	BnF	Denoël	français	français
1	Marty	Denoël	édition	convalescence	Sellier	guérir	Parc-de-Montsouris	France	histoire	philosophie	poésie	rugby	mars	Nathan	route	histoire	15	Gallimard	mention	18	18	Louis	mars	Zambèze	2013	Pasquier	Partenariats	réédition	France	être
2	préhistorique	Renoult	2003	fère	drôle	saison	18	p.	 	chrétien	route	Espagne	histoire	16000	Autriche	Italie	 	16000	guide	Italie	préhistorique	militaire	9	marché	2008	78.a.	récital	Eliane	mars	France
3	2003	réédition	Masséna	sein	Renoult	hydropisie	français	français	4	poésie	histoire	Sein	France	Pelliot	central	rugby	mai	Pelliot	1861.La	Parc-de-Montsouris	Parc-de-Montsouris	Marty	14	Vienne	Louis	Arnhem	Bobino	Gisèle	histoire	 
4	empire	Gründ	empire	Lambkin	Lay	Dona	Vanves	naître	2	Pays	phare	orphique	janvier	arrondissement	Afrique	maritime	4	édition	Hétairiste	15	février	Mayotte	janvier	policierdurée	universel	BnF	Poméranie	Rouen	octobre	année
5	archive	Seghers	1882	1673	observateur	censer	14	janvier	15	Ghana	Internet	Blanchard	2	édition	cinéma	production	9	Brun	actuel	2003	15	Nord	naître	musicaleduré	1843	Partenariats	Arnhem	Luce	arrondissement	naître
6	Laffont	hollywoodpraxis	14	concomitant	2007Noël	Simbine	15	édition	mars	ziridesémirat	Afrique	militaire	14	Brun	Ghana	monde	8	cinéma	innocenter	14	14	Sein	octobre	dialectal	1993	Bobino	bibliophile	Perrot	avril	septembre
7	Marseille	herbier	Marseille	Bordet	prisme	massacre	février	Masséna	être	RKDartists	estonie	préhistorique	9	préface	belge	sport	histoire	1973pour	aucun	février	mort	orphique	avril	UMagasin	février	récital	gras	Francine	édition	ville
8	1963	1973pour	histoire	estomper	Jean-Philippe	Simon	édition	coll	naître	phare	Rome	session	avril	1973pour	Angleterre	Suède	13	Université	retirer	art	hangul	histoire	mai	Amérique	1804	AnneMario	hangul	Marchand	9	général
9	Inter	p.].	coll	perron	électronique	Sainte-Ragenufle	mai	mars	an	médecine	squash	Marty	naître	Université	commerce	fer	juin	1996Revoir	10	hangul	Poméranie	2003	février	complexe	1981	Alba	Barthelet	1981.Guy	14	site
