	PCA_ncomponents_100	PPMI_PCA_ncomponents_100	PPMI_add1_PCA_ncomponents_100	PPMI_LocallyLinearEmbedding_ncomponents_100	PPMI_add1_LocallyLinearEmbedding_ncomponents_100	LocallyLinearEmbedding_ncomponents_100	PPMI_add1_MDS_ncomponents_100	PPMI_MDS_ncomponents_100	MDS_ncomponents_100	simpleCount	PPMI_add1_VarianceThreshold_threshold_0005	VarianceThreshold_threshold_05	VarianceThreshold_threshold_01	PPMI_add1_VarianceThreshold_threshold_0001	PPMI_VarianceThreshold_threshold_001	VarianceThreshold_threshold_03	PPMI_add1_VarianceThreshold_threshold_001	VarianceThreshold_threshold_0001	PPMI_VarianceThreshold_threshold_0001	VarianceThreshold_threshold_002	VarianceThreshold_threshold_001	PPMI_VarianceThreshold_threshold_01	PPMI_VarianceThreshold_threshold_03	PPMI_VarianceThreshold_threshold_02	PPMI_add1_NMF_ncomponents_100	NMF_ncomponents_100	PPMI_NMF_ncomponents_100	PPMI	PPMI_add1
0	intellectuel	153	intellectuel	s	153	153	intellectuel	153	153	153	153	acteur	cancel	153	153	cancel	153	intellectuel	153	intellectuel	intellectuel	153	intellectuel	153	intellectuel	intellectuel	153	153	153
1	153	intellectuel	153	153	Monde	Monde	153	traduire	intellectuel	intellectuel	Louis	critiquer	annulation	intellectuel	intellectuel	annulation	Louis	153	intellectuel	153	153	intellectuel	153	intellectuel	défendre	153	intellectuel	intellectuel	intellectuel
2	Monde	Monde	Monde	traduire	traduire	traduire	s	Harper'	Monde	Monde	intellectuel	représenter	dénonciation	Monde	Monde	dénonciation	intellectuel	Monde	Monde	tolérance	Louis	Monde	Weinstein	Monde	appeler	obstacle	Monde	Monde	Monde
3	traduire	traduire	traduire	Monde	s	s	Harper'	Monde	Weinstein	traduire	tolérance	Laure	source	Harper'	Harper'	source	tolérance	Harper'	Harper'	Louis	tolérance	Harper'	Harvey	Louis	obstacle	Louis	traduire	Harper'	Harper'
4	s	s	s	paraître	paraître	paraître	Monde	paraître	Harper'	Harper'	obstacle	provenir	grand	traduire	traduire	grand	obstacle	traduire	traduire	obstacle	obstacle	traduire	C.K.	tolérance	circulation	C.K.	s	traduire	traduire
5	Harper'	Harper'	Harper'	Harper'	tribune	tribune	paraître	intellectuel	Louis	annulation	C.K.	annuler	sondage	s	s	sondage	C.K.	annulation	s	Harvey	Weinstein	s	Louis	C.K.	libre	Harvey	Harper'	s	s
6	paraître	paraître	paraître	tribune	Harper'	Harper'	traduire	s	traduire	paraître	Harvey	apparaître	manifestation	paraître	paraître	manifestation	Harvey	s	paraître	Weinstein	C.K.	paraître	obstacle	Harvey	français	libre	paraître	paraître	paraître
7	Louis	tribune	tribune	intellectuel	intellectuel	intellectuel	personnalité	tribune	Harvey	obstacle	Weinstein	série	année	obstacle	tribune	année	Weinstein	paraître	tribune	C.K.	Harvey	tribune	annulation	Weinstein	réellement	Weinstein	tribune	tribune	obstacle
8	tribune	7	Louis	7	7	7	Weinstein	juillet	moyen	s	Monde	États-Unis	mentionner	annulation	personnalité	mentionner	harcèlement	obstacle	personnalité	annulation	annulation	personnalité	tolérance	obstacle	153	vue	7	personnalité	annulation
9	obstacle	personnalité	obstacle	juillet	juillet	juillet	tribune	7	call	Louis	gouvernement	dénonciation	usage	Louis	obstacle	usage	annulation	gouvernement	obstacle	réellement	gouvernement	gouvernement	dénoncer	paraître	républicain	individu	personnalité	obstacle	Louis
