	PCA_ncomponents_100	PPMI_PCA_ncomponents_100	PPMI_add1_PCA_ncomponents_100	PPMI_LocallyLinearEmbedding_ncomponents_100	PPMI_add1_LocallyLinearEmbedding_ncomponents_100	LocallyLinearEmbedding_ncomponents_100	simpleCount	PPMI_VarianceThreshold_threshold_005	PPMI_add1_VarianceThreshold_threshold_0005	VarianceThreshold_threshold_05	VarianceThreshold_threshold_04	VarianceThreshold_threshold_01	PPMI_add1_VarianceThreshold_threshold_0001	PPMI_VarianceThreshold_threshold_001	VarianceThreshold_threshold_03	VarianceThreshold_threshold_02	PPMI_add1_VarianceThreshold_threshold_001	PPMI_add1_VarianceThreshold_threshold_005	VarianceThreshold_threshold_002	VarianceThreshold_threshold_001	VarianceThreshold_threshold_005	PPMI_VarianceThreshold_threshold_01	PPMI_VarianceThreshold_threshold_03	PPMI_VarianceThreshold_threshold_02	PPMI_add1_NMF_ncomponents_100	NMF_ncomponents_100	PPMI_NMF_ncomponents_100	PPMI_add1	w2v
0	principalement	griller	ajouter	microclimat	républicain	construire	illustratrice	être	être	avril	avril	fois	être	Moidieu	1950	principalement	faire	ose	utiliser	afghan	fois	être	Bunmei	côté	Myspace	entendre	Israéliens	être	être
1	cause	jalousie	cause	1673	occitan	jamais	utiliser	pouvoir	faire	état	état	principalement	faire	Meyrieu	étudier	travers	grand	mention	créer	utiliser	ajouter	faire	padouegrand	Saint-Pierre	capitaliser	considérer	identitairement	faire	ville
2	ajouter	dessinmaman	fournir	concomitant	renouveler	condamner	créer	eau	grand	armée	armée	modifier	pouvoir	nuire	mauvais	époque	être	guide	Chimère	créer	créer	allemand	banzai	intérieur	ptolémée	magazine	immobilier	pouvoir	lieu
3	considérer	aimable	vente	ignore	affrontement	1952	construire	faire	utiliser	créer	créer	étudier	grand	saint-andré-le-bas	retrouver	modifier	jeune	1861.La	échec	raison	utiliser	nouveau	adsl	Portugal	plaide	niveau	dessinmaman	grand	faire
4	raison	ptolémée	principalement	estomper	Myeongdong	consolider	faire	avoir	pouvoir	lieu	lieu	dissoudre	eau	terreun	latéral	dissoudre	pays	Hétairiste	ajouter	xylitol	considérer	forme	14	monastère	jalousie	rejeter	maladele	eau	groupe
5	juger	fusible	généralement	Groenland	catalan	inviter	sélectionner	allemand	pays	pouvoir	pouvoir	échec	nom	cartulaire	modifier	étudier	fois	actuel	raison	Theo	dissoudre	petit	Luisa	sens	batte	signaler	cpi).la	pays	général
6	objectif	batte	protéger	Méliès	double-face	créer	être	carie	partie	ville	ville	côté	partie	renferme	base	reporter	lieu	innocenter	principalement	RTP	étudier	pouvoir	Lambesis	Island	dessinmaman	durée	plaide	partie	an
7	beaucoup	confisquer	sûr	Falcão	Reitel)Harvey	atteindre	perpétuité	groupe	dernier	an	ajouter	prisonnier	pays	facilement	dissoudre	significatif	place	aucun	construire	recalibrer	sélectionner	eau	Bogandé	violent	maladele	former	manufacturier	niveau	Aubusson
8	aucun	Israéliens	problème	sein	Médaille	concevoir	ajouter	montrer	jeune	période	an	confirmer	utiliser	abondance	travers	objectif	époque	retirer	coûteux	ghettotech	principalement	jour	mortuaire	inférieur	abondance	gérer	ptolémée	utiliser	partie
9	élevé	plaide	avoir	CIA	clermont-sur-lauquet	annuler	pouvoir	forme	nom	ajouter	finalement	zone	public	fusible	objectif	coûteux	partie	10	xylitol	vandaliser	construire	protéger	lesbien	faire	fusible	nutriment	/-n-/	allemand	année
