	PCA_ncomponents_100	PPMI_PCA_ncomponents_100	PPMI_add1_PCA_ncomponents_100	PPMI_LocallyLinearEmbedding_ncomponents_100	PPMI_add1_LocallyLinearEmbedding_ncomponents_100	LocallyLinearEmbedding_ncomponents_100	simpleCount	PPMI_VarianceThreshold_threshold_005	PPMI_add1_VarianceThreshold_threshold_0005	VarianceThreshold_threshold_05	VarianceThreshold_threshold_04	VarianceThreshold_threshold_01	PPMI_add1_VarianceThreshold_threshold_0001	PPMI_VarianceThreshold_threshold_001	VarianceThreshold_threshold_03	VarianceThreshold_threshold_02	PPMI_add1_VarianceThreshold_threshold_001	PPMI_add1_VarianceThreshold_threshold_005	VarianceThreshold_threshold_002	VarianceThreshold_threshold_001	VarianceThreshold_threshold_005	PPMI_VarianceThreshold_threshold_01	PPMI_VarianceThreshold_threshold_03	PPMI_VarianceThreshold_threshold_02	PPMI_add1_NMF_ncomponents_100	NMF_ncomponents_100	PPMI_NMF_ncomponents_100	PPMI_add1	w2v
0	neutraliser	étirer	neiger	drapeau	liberté	Comic	bombarde	insu	étirer	époque	époque	2020.sélection	étirer	apprêter	Hétairiste	désignation	bombarde	ose	étirer	étirer	Takeo	saisie	Bunmei	reverser	Yorkshire	appui	nécessité	bombarde	matière
1	appui	apprêter	munition	Océanie2009	hôte	mytho	apprêter	bombarde	Weisse	électricité	électricité	lendemain.28	bombarde	embarquer	requête	régler	Weisse	mention	Mino	bombarde	Weisse	bombarde	padouegrand	Helenentor	neutraliser	Milos	Volunteer	apprêter	Nicolas
2	riencourt-lès-cagnicourt	bombarde	riencourt-lès-cagnicourt	logiciel	1951	fou	étirer	étirer	Toos	influent	influent	dispositif	insu	sauter	observer	primaire	Milos	guide	Toos	Arrêté	bombarde	étirer	banzai	hane	lendemain.28	cyclade	insu	étirer	scientifique
3	sapeur	insu	peloton	Chaumont	corolle	manifestation	sauter	migrant	Takeo	suite	suite	Belsen	pont-barrage	partance	Neptune	abe	cyclade	1861.La	Weisse	Évzoni	neutraliser	réorganiser	adsl	1505.la	riencourt-lès-cagnicourt	cloche	Aubussonnais	sauter	réduire
4	peloton	saisie	neutraliser	1683	324.American	apprêter	embarquer	pont-barrage	afro-jamaïcaine	assure	assure	aviation	Évzoni	bombarde	conseil	Castletown	Takeo	Hétairiste	Takeo	Toos	Mino	ngc	14	lendemain.28	Monchy	étirer	grange	embarquer	champion
5	neiger	migrant	lendemain.28	pontifical	Nahouda	cacique	insu	saisie	queue	-ensi	-ensi	1505.la	thunderbolt	étirer	Bayeux	Lande	Mino	actuel	sapeur	Weisse	mannequin	joie	Luisa	instantané	contre-attaquer	montagnard	statistique	insu	original
6	provisoire	munition	appui	1798	JM	MowatCostumes	hosannière	apprêter	bombarde	actif	actif	certifier	Doïranis	ferry	pilote	Rajouri	neutraliser	innocenter	afro-jamaïcaine	Doïranis	riencourt-lès-cagnicourt	solitude	Lambesis	complot	torturer	anime	déplacement	partance	civil
7	surprendre	embarquer	provisoire	1923	Colette	corrèzeliste	partance	portuaire	ultérieurement	incruster	incruster	Yorkshire	migrant	insu	assistant	éclaron	sapeur	aucun	ultérieurement	macédonien	sapeur	empathie	Bogandé	désignation	Saint-Gatien	mitrailleuse	foin	hosannière	fondateur
8	régler	grièvement	sapeur	explosif	espoir	Proca	décapiter	Doïranis	entériner	Michel	Michel	provisoire	p-47	hosannière	récupérer	Ancus	riencourt-lès-cagnicourt	retirer	requête	perte	chandra	rhinocéros	mortuaire	Gui	neiger	mesure	assurer	migrant	John
9	lourd	dissimuler	avancée	déclasser	Rheindt	30.meessen	Mino	Évzoni	en)ELSTAT	lourd	lourd	navire	apprêter	munition	antiboise	stibarsen	accordage	10	consolider	ultérieurement	perte	haie	lesbien	Bose	nouer	suralimentation	charpentier	décapiter	estonien
