	livre_10000_PPMI_VarianceThreshold_threshold_001	livre_10000_PPMI_add1_PCA_ncomponents_100	livre_10000_w2v	musique_10000_PPMI_VarianceThreshold_threshold_001	musique_10000_PPMI_add1_PCA_ncomponents_100	musique_10000_w2v	artiste_10000_PPMI_VarianceThreshold_threshold_001	artiste_10000_PPMI_add1_PCA_ncomponents_100	artiste_10000_w2v	chanteur_10000_PPMI_VarianceThreshold_threshold_001	chanteur_10000_PPMI_add1_PCA_ncomponents_100	chanteur_10000_w2v	écrivain_10000_PPMI_VarianceThreshold_threshold_001	écrivain_10000_PPMI_add1_PCA_ncomponents_100	écrivain_10000_w2v
0	hérétique	roman	nom	Discogs	MusicBrainz	français	peintre	peintre	année	Bozeman	Pete	 	Sultana	auteur	2019
1	sibyllin	syrien	année	Stravinsky	Discogs	être	plasticien	sculpteur	The	Dying	sortir	s	subsaharien	sculpteur	utiliser
2	idolâtre	intituler	jusque	Mârârs	classique	grand	helléniste	techno	direction	pèr	album	livre	Zarah	poète	contre
3	Elsdorf	milliard	ancien	Soir	électronique	année	azéri	belge	créer	1969.carlo	studio	épouse	Ash	critique	lettre
4	rabbin	écrire	être	attrait	sculpture	film	Lotz	lithographe	of	trinidadien	label	politique	Jardine	recueil	nouveau
5	birds	publier	utiliser	Quichotte	pièce	politique	Dieffenbach	architecte	an	mezzo	Fall	direction	originalité	cinéaste	université
6	blogue	euro	grand	rajasthani	Jeff	utiliser	annuaire	Van	terre	Tim	2013.En	école	designer	bon	prendre
7	Delairesse	estime	contre	ballade	sonore	Aubusson	Azerbaïdjan	Damme	utiliser	Burn	metal	fois	Eddo	prononcer	décrire
8	Yannik	single	groupe	caste	œuvre	art	Poirrier	Gustav	jusque	Phil	Out	présente	contemporain	acteur	national
9	sterling	entrée	faire	Tchaïkovski	Mills	Paris	friand	Maurice	période	Creator	compositeur	petit	investir	imaginer	fois
