	France_10000_PPMI_VarianceThreshold_threshold_001	France_10000_PPMI_add1_PCA_ncomponents_100	France_10000_w2v	Paris_10000_PPMI_VarianceThreshold_threshold_001	Paris_10000_PPMI_add1_PCA_ncomponents_100	Paris_10000_w2v	ville_10000_PPMI_VarianceThreshold_threshold_001	ville_10000_PPMI_add1_PCA_ncomponents_100	ville_10000_w2v	pays_10000_PPMI_VarianceThreshold_threshold_001	pays_10000_PPMI_add1_PCA_ncomponents_100	pays_10000_w2v
0	Mayotte	Nord	être	coll	arrondissement	français	Bảo	sud	être	glandsle	Allemagne	être
1	+1,9	États-Unis	grand	Nathan	édition	être	Lộc	quartier	partie	industrialiser	Europe	membre
2	Météo	chambellan	film	16000	2003	France	Dương	aujourd'hui	faire	Océanie2009	occidental	prendre
3	chambellan	19	nom	Pelliot	Masséna	 	centre	porte	année	mangeur	plupart	devenir
4	16000	campagne	français	arrondissement	empire	année	situer	capitale	grand	réfugié	États-Unis	année
5	guid	actif	faire	édition	1882	naître	Daejeon	port	ancien	1926otzar	particulier	faire
6	météo	type	an	Brun	14	septembre	funéraillesHarry	centre	an	orient2009	introduire	grand
7	fim	approche	ancien	préface	Marseille	ville	natal	village	devenir	Vikkouhim	nécessaire	général
8	Leguèbe	Europe	ville	1973pour	histoire	général	Upar	siège	château	européenne2009	Suisse	France
9	Pre	aide	Aubusson	Université	coll	site	Đà	trouve	nom	déstabiliser	communauté	an
