	PCA_ncomponents_100	PPMI_PCA_ncomponents_100	PPMI_add1_PCA_ncomponents_100	PPMI_LocallyLinearEmbedding_ncomponents_100	PPMI_add1_LocallyLinearEmbedding_ncomponents_100	LocallyLinearEmbedding_ncomponents_100	simpleCount	PPMI_VarianceThreshold_threshold_005	PPMI_add1_VarianceThreshold_threshold_0005	VarianceThreshold_threshold_05	VarianceThreshold_threshold_04	VarianceThreshold_threshold_01	PPMI_add1_VarianceThreshold_threshold_0001	PPMI_VarianceThreshold_threshold_001	VarianceThreshold_threshold_03	VarianceThreshold_threshold_02	PPMI_add1_VarianceThreshold_threshold_001	PPMI_add1_VarianceThreshold_threshold_005	VarianceThreshold_threshold_002	VarianceThreshold_threshold_001	VarianceThreshold_threshold_005	PPMI_VarianceThreshold_threshold_01	PPMI_VarianceThreshold_threshold_03	PPMI_VarianceThreshold_threshold_02	PPMI_add1_NMF_ncomponents_100	NMF_ncomponents_100	PPMI_NMF_ncomponents_100	PPMI_add1	w2v
0	endémique	coléoptère	espèce	Procambridgea	aranéomorphe	annandalii	endémique	espèce	siècle	époque	époque	seigneur	être	espèce	famille	fonder	donner	ose	sédiment	endémique	trilobites	petit	Bunmei	maritime	hydrolyse	ArthémonayVicomtes	Scaphidiinae	espèce	être
1	Tasmanie	pseudoscorpion	araignée	Stiphidiidae	araignée	goini	Tasmanoonops	Hamus	donner	électricité	électricité	sceau	siècle	genre	fort	venir	devenir	mention	holoschoenus).714	Typhlatta	Coleman	sous-famille	padouegrand	siècle	Astrocharidae	Bosonides	bloque	être	devenir
2	Intihuatana	Staphylinidae	genre	araignée	oonopidae	eleutherodactylidae	Badumna	Tasmanoonops	nom	influent	influent	noble	nom	coléoptère	étendre	blanc	siècle	guide	fraction	équateur	Álvaro	château	banzai	minéral	euryalida	hudukkâ	VirieuViennoisArmorial	siècle	année
3	genre	Scaphidiinae	aranéomorphe	aranéomorphe	Desidae	amphibien	Hamus	Badumna	être	suite	suite	fief	grand	aranéomorphe	continuer	missionnaire	faire	1861.La	Hamus	Tasmanoonops	fuscicauda	Beauvoir	adsl	ville	ophiure	genre	DauphinéUlysse	genre	général
4	Pseudamyciaea	aranéomorphe	noble	hahniidae	hahniidae	Dicroglossidae	hahniidae	Beauvoir	devenir	assure	assure	Eyzin	Beauvoir	magnoliacée	aménager	architecte	ville	Hétairiste	Tasmanoonops	esperance	curtisii	terre	14	possession	échinoderme	Antenichus	ophiure	aranéomorphe	grand
5	Aerodramus	garypidae	endémique	arguta	orsolobidae	Nanorana	oonopidae	magnoliacée	château	-ensi	-ensi	Saint-Jean-de-Bournay	château	pseudoscorpion	emplacement	trône	église	actuel	fuscicauda	biospéologie	amélioration	nommer	Luisa	arme	anisoptère	hurkî	échinoderme	Beauvoir	faire
6	allobunus	hillaryi	Intihuatana	fulvus	Hamus	insecte	orsolobidae	Procambridgea	ville	actif	actif	Aldagardis	donner	Staphylinidae	inspirer	protestant	ancien	innocenter	auto-épuratoire	trilobites	Java	siècle	Lambesis	objet	genre	espèce	euryalida	grand	groupe
7	araignée	oceanusindicu	magnoliacée	kangdingensi	Tasmanoonops	endémique	Thomisidae	Stiphidiidae	faire	incruster	incruster	Adémar	ville	Leroy	objet	diplomate	être	aucun	équateur	galet	706	origine	Bogandé	site	sous-ordre	trilobites	Astrocharidae	araignée	nom
8	Australie	giga-octet	Pseudamyciaea	Hamus	fulvus	Eleutherodactylus	Synotaxidae	montana	grand	Michel	Michel	conforme	devenir	DauphinéUlysse	dernier	lien	grand	retirer	pseudamyciaea	Hamus	Badumna	nom	mortuaire	mairie	ainer	Java	MarcFamille	Hamus	ancien
9	aranéomorphe	annandalii	arbre	Badumna	Badumna	genre	Desidae	arguta	seigneur	lourd	lourd	gentilhomme	nommer	VirieuViennoisArmorial	rapport	manuscrit	lieu	10	mauries,1971).il	Badumna	salangane	fils	lesbien	place	pseudopectiniferauebelmannia	paraenictu	Sansot	Tasmanoonops	prendre
