	PCA_ncomponents_100	PPMI_PCA_ncomponents_100	PPMI_add1_PCA_ncomponents_100	PPMI_LocallyLinearEmbedding_ncomponents_100	PPMI_add1_LocallyLinearEmbedding_ncomponents_100	LocallyLinearEmbedding_ncomponents_100	simpleCount	PPMI_VarianceThreshold_threshold_005	PPMI_add1_VarianceThreshold_threshold_0005	VarianceThreshold_threshold_05	VarianceThreshold_threshold_04	VarianceThreshold_threshold_01	PPMI_add1_VarianceThreshold_threshold_0001	PPMI_VarianceThreshold_threshold_001	VarianceThreshold_threshold_03	VarianceThreshold_threshold_02	PPMI_add1_VarianceThreshold_threshold_001	PPMI_VarianceThreshold_threshold_0005	PPMI_add1_VarianceThreshold_threshold_005	VarianceThreshold_threshold_002	VarianceThreshold_threshold_001	VarianceThreshold_threshold_005	PPMI_VarianceThreshold_threshold_01	PPMI_VarianceThreshold_threshold_03	PPMI_VarianceThreshold_threshold_02	PPMI_add1_NMF_ncomponents_100	NMF_ncomponents_100	PPMI_NMF_ncomponents_100	PPMI_add1	w2v
0	euro	sibyllin	roman	Groenland	revendique	600	euro	sterling	roman	époque	époque	récompense	être	hérétique	livre	stopper	homme	sibyllin	ose	roman	roman	récompense	intituler	volume	Lupino	empaler	financer	investir	être	nom
1	roman	sterling	syrien	anglais	Andréa	60	tonne	sibyllin	personne	électricité	électricité	estime	000	sibyllin	meilleur	beaucoup	arménien	hérétique	mention	personne	bovin	arménien	album	1963	Octopussy)La	septièmedésœuvré	roman	2006	000	année
2	personne	1,14	intituler	convalescence	Aristide	habitants,	£	000	intituler	influent	influent	200	euro	idolâtre	2007	meilleur	personne	idolâtre	guide	bovin	950	finaliste	000	IT	complexe	sixièmeamputer	Heroes	poster	euro	jusque
3	estime	blogue	milliard	sein	Nesi	90	personne	intituler	réaliser	suite	suite	finaliste	intituler	Elsdorf	petit	atteindre	roman	sterling	1861.La	950	personne	personne	être	Kingdom	roman	thorn	Within	entrevue	intituler	ancien
4	récompense	36,6	écrire	Lambkin	autoethnonyme	dotation	200	publier	titre	assure	assure	euro	publier	rabbin	atteindre	surveiller	récompense	rabbin	Hétairiste	Bozeman	euro	euro	entrée	demande	Ariel	birds	Neophyte	évacuer	sibyllin	être
5	single	vermeil	publier	1673	hittite	Quart	intituler	1,14	euro	-ensi	-ensi	rétroactif	titre	birds	beaucoup	destiner	Löschmann	blogue	actuel	Phil	Phil	rétroactif	2006	Street	Ultimate	1,14	Requiem	publier	titre	utiliser
6	200	empaler	euro	concomitant	Nesili	demi-finaliste	bovin	affaire	être	actif	actif	rang	personne	blogue	utiliser	Luciano	vainqueur	Delairesse	innocenter	euro	intituler	£	titre	Effect	saison	hérétique	For	Greeley	publier	grand
7	£	milliard	estime	quasiment	1896	880	laevicep	euro	homme	incruster	incruster	tonne	film	Delairesse	terme	intégrer	finaliste	Yannik	aucun	rétroactif	rétroactif	homme	volume	avril	Gold	blogue	Greatest	constitue	sterling	contre
8	syrien	euro	single	estomper	成語	finaliste	roman	idolâtre	écrire	Michel	Michel	laevicep	américain	Yannik	mort	coûteux	rétroactif	quotidiennement	retirer	remarque	2004)[réf	200	euro	Greatest	emerald	Why	Innocent	פסח	écrire	groupe
9	intituler	idolâtre	entrée	perron	contact	354	réserviste	mèche	série	lourd	lourd	dotation	an	sterling	permettre	amasse	écrire	Huysmans	10	2004)[réf	réserviste	orthodoxe	écrire	Blanks)L'	Filmmakers	So	Walking	realplayer	film	faire
