	PCA_ncomponents_100	PPMI_PCA_ncomponents_100	PPMI_add1_PCA_ncomponents_100	PPMI_LocallyLinearEmbedding_ncomponents_100	PPMI_add1_LocallyLinearEmbedding_ncomponents_100	LocallyLinearEmbedding_ncomponents_100	PPMI_add1_MDS_ncomponents_100	PPMI_MDS_ncomponents_100	MDS_ncomponents_100	simpleCount	PPMI_add1_VarianceThreshold_threshold_0005	VarianceThreshold_threshold_05	VarianceThreshold_threshold_01	PPMI_add1_VarianceThreshold_threshold_0001	PPMI_VarianceThreshold_threshold_001	VarianceThreshold_threshold_03	PPMI_add1_VarianceThreshold_threshold_001	VarianceThreshold_threshold_0001	PPMI_VarianceThreshold_threshold_0001	VarianceThreshold_threshold_002	VarianceThreshold_threshold_001	PPMI_VarianceThreshold_threshold_01	PPMI_VarianceThreshold_threshold_03	PPMI_VarianceThreshold_threshold_02	PPMI_add1_NMF_ncomponents_100	NMF_ncomponents_100	PPMI_NMF_ncomponents_100	PPMI	PPMI_add1	w2v
0	analyse	nommer	nommer	apparenter	nommer	nommer	nommer	nommer	exister	nommer	.selon	acteur	provenir	nommer	nommer	provenir	cancellation	nommer	nommer	analyse	nommer	nommer	.selon	.selon	nommer	analyse	défendre	nommer	nommer	désigner
1	nommer	défendre	analyse	réellement	exister	identitarisme	Roseanne	analyse	nommer	.selon	analyse	critiquer	.selon	exister	opposer	.selon	analyse	.selon	opposer	.selon	.selon	opposer	analyse	analyse	décrire	.selon	universalisme	opposer	opposer	estime
2	défendre	républicain	exister	négatif	réellement	opposer	analyse	opposer	lettre	exister	nommer	représenter	terme	opposer	identitarisme	terme	généralement	exister	identitarisme	cancellation	analyse	exister	concept	sévir	suicide	France	républicain	identitarisme	.selon	1935
3	universalisme	universalisme	défendre	exister	apparenter	universalisme	anglo-saxon	.selon	provocateur	opposer	cancellation	Laure	débat	.selon	réellement	débat	.selon	opposer	réellement	nommer	exister	identitarisme	universalisme	opposer	cas	estime	opposer	réellement	exister	vol
4	républicain	exister	réellement	effet	opposer	républicain	cas	exister	généralement	réellement	respect	provenir	série	réellement	exister	série	nommer	réellement	exister	acteur	apparenter	réellement	critique	cancellation	analyse	sévir	anglo-saxon	exister	réellement	américain
5	.selon	réellement	républicain	définitif	identitarisme	exister	généralement	réellement	cas	concept	provenir	annuler	acteur	identitarisme	effet	acteur	with	concept	effet	généralement	réellement	effet	important	nommer	infinitif	anglo-saxon	identitarisme	effet	identitarisme	côté
6	France	apparenter	universalisme	nommer	républicain	anglo-saxon	universalisme	numérique	critiquer	analyse	sévir	apparaître	estime	effet	apparenter	estime	Apu	analyse	apparenter	concept	cancellation	apparenter	amérique	amérique	gouvernement	identitarisme	France	apparenter	effet	2020
7	exister	opposer	apparenter	absolu	universalisme	défendre	infinitif	républicain	analyse	apparenter	lettre	série	annuler	apparenter	défendre	annuler	acteur	apparenter	défendre	suicide	respect	défendre	Heinich	respect	provocateur	universalisme	nommer	défendre	apparenter	siècle
8	opposer	identitarisme	opposer	opposer	effet	France	propre	campagne	culture	effet	opposer	États-Unis	Laure	France	France	Laure	débat	effet	France	cas	provenir	France	existe	Rutledge	.selon	républicain	réellement	France	France	dictionnaire
9	réellement	anglo-saxon	France	identitarisme	anglo-saxon	réellement	.selon	culture	réellement	identitarisme	infinitif	dénonciation	militant	défendre	.selon	militant	estime	identitarisme	.selon	with	concept	.selon	bien	provenir	lettre	défendre	apparenter	.selon	défendre	statue
