	PCA_ncomponents_100	PPMI_PCA_ncomponents_100	PPMI_add1_PCA_ncomponents_100	PPMI_LocallyLinearEmbedding_ncomponents_100	PPMI_add1_LocallyLinearEmbedding_ncomponents_100	LocallyLinearEmbedding_ncomponents_100	PPMI_add1_MDS_ncomponents_100	PPMI_MDS_ncomponents_100	MDS_ncomponents_100	simpleCount	PPMI_VarianceThreshold_threshold_005	PPMI_add1_VarianceThreshold_threshold_0005	VarianceThreshold_threshold_05	VarianceThreshold_threshold_04	VarianceThreshold_threshold_01	PPMI_add1_VarianceThreshold_threshold_0001	PPMI_VarianceThreshold_threshold_001	PPMI_VarianceThreshold_threshold_015	VarianceThreshold_threshold_03	VarianceThreshold_threshold_02	PPMI_add1_VarianceThreshold_threshold_001	VarianceThreshold_threshold_0001	VarianceThreshold_threshold_0005	VarianceThreshold_threshold_002	VarianceThreshold_threshold_001	VarianceThreshold_threshold_005	PPMI_VarianceThreshold_threshold_01	PPMI_VarianceThreshold_threshold_03	PPMI_VarianceThreshold_threshold_02	PPMI_VarianceThreshold_threshold_04	PPMI_add1_NMF_ncomponents_100	NMF_ncomponents_100	PPMI_NMF_ncomponents_100	PPMI_add1	PPMI
0	1974.histoire	1974.histoire	1974.histoire	grèce2009	Afrique2009	1974.histoire	Jiří	Zeist	score	1974.histoire	1974.histoire	1974.histoire	lever	lever	lever	grèce2009	1974.histoire	score	lever	lever	regrouper	1974.histoire	unies	touristique	orient2009	lever	33,94	aller	orient2009	aller	1974.histoire	1974.histoire	33,94	1974.histoire	33,94
1	grèce2009	33,94	grèce2009	33,94	score	grèce2009	1873	intellectuel	touche	33,94	score	hôt	star	star	star	Constantin	score	33,94	star	star	1974.histoire	33,94	grèce2009	amener	1974.histoire	star	grèce2009	vol	1974.histoire	vol	grèce2009	grèce2009	D.	33,94	1974.histoire
2	unies	grèce2009	33,94	1974.histoire	33,94	33,94	Second	helicopterdamnatio	attaque	grèce2009	33,94	unies	Roberto	Roberto	Roberto	989	33,94	réélection	Roberto	Roberto	unies	Afrique2009	33,94	regroupement	mauvais	Roberto	1974.histoire	total	regroupement	total	orient2009	AASSE	réélection	grèce2009	score
3	orient2009	voix	unies	Afrique2009	Unis2009	score	Gallo	adressage	vivre	Afrique2009	Afrique2009	orient2009	generer	generer	generer	orient2009	Afrique2009	unies	generer	generer	poule	grèce2009	1974.histoire	hôt	Nations	generer	Tompkins	provocateur	amener	provocateur	déstabiliser	orient2009	Daniel	score	grèce2009
4	AASSE	Constantin	orient2009	homologue	grèce2009	Afrique2009	unies	Unis2009	Denoël	voix	voix	touristique	suiteniel	suiteniel	suiteniel	obtenir	Constantin	grèce2009	suiteniel	suiteniel	pandémie	voix	orient2009	épreuve	grèce2009	suiteniel	score	en).dissolution	apparition	en).dissolution	unies	apparition	Arménie	voix	sortant
5	apparition	score	AASSE	plupart	1974.histoire	Amérique	opposer	Jodoigne	"12"")at"	score	grèce2009	amener	Scott	Scott	Scott	Océanie2009	grèce2009	hôt	Scott	Scott	épreuve	score	européenne2009	caractère	européenne2009	Scott	989	football	regrouper	football	UE	unies	Tompkins	Afrique2009	voix
6	regroupement	obtenir	apparition	développement	pays	voix	rivalité	maréeUn	mettre	Constantin	Constantin	Nations	avatar	avatar	avatar	Caramanlis	voix	Nations	avatar	avatar	apparition	Constantin	Amérique	1974.histoire	Amérique	avatar	accusateur	neuf	vingt-quatre	neuf	apparition	amener	1974.histoire	sortant	Afrique2009
7	européenne2009	Tompkins	regroupement	justice	chine2009	Unis2009	48	effectivement	Direct.cd	sortant	sortant	grèce2009	problématique	problématique	problématique	chine2009	sortant	1974.histoire	problématique	problématique	maladie	sortant	Océanie2009	pandémie	Océanie2009	problématique	Constantin	You	commission	You	AASSE	regroupement	juillet-1er	Constantin	Constantin
8	Amérique	989	européenne2009	affaire	Asie	Asie	passer	émettre	censer	Amérique	Caramanlis	Océanie2009	brûle	brûle	brûle	Nations	Caramanlis	orient2009	brûle	brûle	orient2009	Amérique	voix	orient2009	apparition	brûle	réélection	fonder	grèce2009	fonder	partenaire	touristique	athènes.27	Caramanlis	Caramanlis
9	hôt	Caramanlis	voix	président	Europe	chine2009	publier	扣肉	Garros	européenne2009	obtenir	Amérique	m	m	m	Daniel	obtenir	vingt-quatre	m	m	AASSE	européenne2009	Afrique2009	regrouper	Afrique2009	m	074	Attica	AASSE	Attica	réfugié	millier	karaté	Amérique	Amérique
