	PCA_ncomponents_100	PPMI_PCA_ncomponents_100	PPMI_add1_PCA_ncomponents_100	PPMI_LocallyLinearEmbedding_ncomponents_100	PPMI_add1_LocallyLinearEmbedding_ncomponents_100	LocallyLinearEmbedding_ncomponents_100	PPMI_add1_MDS_ncomponents_100	PPMI_MDS_ncomponents_100	MDS_ncomponents_100	simpleCount	PPMI_VarianceThreshold_threshold_005	PPMI_add1_VarianceThreshold_threshold_0005	VarianceThreshold_threshold_05	VarianceThreshold_threshold_04	VarianceThreshold_threshold_01	PPMI_VarianceThreshold_threshold_001	PPMI_VarianceThreshold_threshold_015	VarianceThreshold_threshold_03	VarianceThreshold_threshold_02	PPMI_add1_VarianceThreshold_threshold_001	VarianceThreshold_threshold_0001	VarianceThreshold_threshold_0005	VarianceThreshold_threshold_002	VarianceThreshold_threshold_001	VarianceThreshold_threshold_005	PPMI_VarianceThreshold_threshold_01	PPMI_VarianceThreshold_threshold_03	PPMI_VarianceThreshold_threshold_02	PPMI_VarianceThreshold_threshold_04	PPMI_add1_NMF_ncomponents_100	NMF_ncomponents_100	PPMI_NMF_ncomponents_100	PPMI_add1	PPMI	w2v
0	chine2009	orient2009	Océanie2009	investissement	Unis2009	européenne2009	démanteler	enfant	compare	chine2009	UE	Maracana	lever	lever	concurrence	Océanie2009	Asie	lever	lever	Yannis	chine2009	Critical	2020,	Maracana	chine2009	chine2009	aller	Athènes	aller	européenne2009	chine2009	orient2009	chine2009	Afrique2009	tournée
1	Unis2009	Océanie2009	européenne2009	employé	chine2009	Europe	Nazzari	synonymie	Furius	Unis2009	déstabiliser	Critical	star	star	européenne2009	UE	moyen-orient	star	star	économie	Unis2009	chine2009	campement	Critical	audiovisuel	UE	vol	comté	vol	Amérique	Unis2009	millier	Afrique2009	Océanie2009	epthe
2	Océanie2009	européenne2009	Afrique2009	1998	Afrique2009	Asie	ceinture	Guillien	Alice	jeudi	Afrique2009	aucun	Roberto	Roberto	police	déstabiliser	UE	Roberto	Roberto	secousse	jeudi	mardi	Maracana	détenu	a(h1n1	moyen-orient	total	Broward	total	Océanie2009	Océanie2009	Océanie2009	Océanie2009	UE	grand
3	Afrique2009	unies	chine2009	confrontation	score	chine2009	nation	transport	mandarinformat	mardi	réfugié	détenu	generer	generer	cinquième	orient2009	afghans	generer	generer	Critical	mardi	jeudi	a(h1n1	aucun	2020,	apparition	provocateur	en)Championnat	provocateur	Union	Afrique2009	déstabiliser	européenne2009	européenne2009	bal
4	Asie	chine2009	Amérique	élection	Asie	orient2009	Antoine	Enrico	Sony	Océanie2009	afflux	2020,	suiteniel	suiteniel	hélicoptère	Afrique2009	portuaire	suiteniel	suiteniel	évasion	Océanie2009	mars	détenu	jeudi	procéder	millier	en).dissolution	législatif	en).dissolution	Afrique2009	grève	partenaire	Unis2009	orient2009	activité
5	européenne2009	Unis2009	Unis2009	passage	mauvais	athlétisme	XI	ingérence	bienveiller	mars	grèce2009	a(h1n1	Scott	Scott	a(h1n1	grèce2009	tenter	Scott	Scott	5,9	mars	Unis2009	Critical	mardi	aucun	regrouper	football	attraper	football	orient2009	succès	réfugié	UE	déstabiliser	km2
6	Amérique	Afrique2009	apparition	0).Federer	grèce2009	Océanie2009	débarquer	Philharmonic	dénombrer	mercredi	européenne2009	enfant	avatar	avatar	attraper	européenne2009	ouest-est	avatar	avatar	république	mercredi	mercredi	enfant	mars	Maracana	regroupement	neuf	pêcheur	neuf	unies	Asie	unies	déstabiliser	chine2009	no
7	Europe	AASSE	grèce2009	typologie	1974.histoire	Unis2009	propice	signataire	Into	Afrique2009	apparition	Asie	problématique	problématique	Caramanlis	réfugié	habiter	problématique	problématique	GERB	Afrique2009	vendredi	aucun	filet	spectaculaire	européenne2009	You	filet	You	grèce2009	Amérique	migrant	apparition	grèce2009	service
8	Union	regroupement	Asie	médecin	Europe	Amérique	maritimecourer	MakerThe	3).Deuxième	vendredi	menacer	filet	brûle	brûle	8	apparition	AASSE	brûle	brûle	a(h1n1	vendredi	janvier	élu	chine2009	salaire	commission	fonder	habiter	fonder	apparition	européenne2009	UE	regroupement	réfugié	centaine
9	jeudi	apparition	orient2009	comportement	33,94	voix	côtier	dépendre	Hermalle-sous-Argenteau	Asie	maladie	chine2009	m	m	confirmer	Unis2009	réfugié	m	m	détenu	Asie	intituler	jeudi	janvier	économie	Asie	Attica	cagoulé	Attica	1974.histoire	Europe	européenne2009	grèce2009	Unis2009	immeuble
