	PCA_ncomponents_100	PPMI_PCA_ncomponents_100	PPMI_add1_PCA_ncomponents_100	PPMI_LocallyLinearEmbedding_ncomponents_100	PPMI_add1_LocallyLinearEmbedding_ncomponents_100	LocallyLinearEmbedding_ncomponents_100	simpleCount	PPMI_VarianceThreshold_threshold_005	PPMI_add1_VarianceThreshold_threshold_0005	VarianceThreshold_threshold_05	VarianceThreshold_threshold_04	VarianceThreshold_threshold_01	PPMI_add1_VarianceThreshold_threshold_0001	PPMI_VarianceThreshold_threshold_001	VarianceThreshold_threshold_03	VarianceThreshold_threshold_02	PPMI_add1_VarianceThreshold_threshold_001	PPMI_VarianceThreshold_threshold_0005	PPMI_add1_VarianceThreshold_threshold_005	VarianceThreshold_threshold_002	VarianceThreshold_threshold_001	VarianceThreshold_threshold_005	PPMI_VarianceThreshold_threshold_01	PPMI_VarianceThreshold_threshold_03	PPMI_VarianceThreshold_threshold_02	PPMI_add1_NMF_ncomponents_100	NMF_ncomponents_100	PPMI_NMF_ncomponents_100	PPMI_add1	w2v
0	occidental	européenne2009	Allemagne	physicien	contre-offensive	commission	États-Unis	États-Unis	être	fluoration	fluoration	américain	être	glandsle	cours	besoin	être	glandsle	ose	États-Unis	États-Unis	communauté	États-Unis	Bunmei	sud	prohibitif	inabordable	syndicaliste	être	être
1	plupart	Vikkouhim	Europe	concomitant	proposer	systématique	être	Europe	région	siècle	langue	États-Unis	États-Unis	industrialiser	américain	réduction	grand	industrialiser	mention	communauté	être	États-Unis	région	padouegrand	autour	abouti,	gisement	psychikofond	États-Unis	membre
2	nécessaire	Océanie2009	occidental	ignore	Enn	faible	eau	fluoration	partie	année	siècle	zone	région	Océanie2009	dentaire	jour	contre	mangeur	guide	être	jeune	public	carie	banzai	pied	Sinaï	AASSE	démocrateglyptothèque	fluoration	prendre
3	formation	orient2009	plupart	estomper	av.	Viana	état	palestinien	état	langue	année	particulier	état	mangeur	pratiquer	condition	conseil	1926otzar	1861.La	américain	américain	jeune	dentaire	adsl	nord	ouminhaggim	kami	bulgaresa	palestinien	devenir
4	Allemagne	inabordable	États-Unis	Groenland	soldat	23	américain	eau	États-Unis	cours	cours	élevé	eau	réfugié	desservir	utiliser	devenir	orient2009	Hétairiste	jeune	communauté	aucun	Europe	14	automobile	ומנהגים	scandinave	européenne2009	eau	année
5	Syrie	valoriser	particulier	Méliès	musulman	arrêter	jeune	carie	américain	jeu	travail	exposition	grand	1926otzar	toxique	stratégie	américain	Vikkouhim	actuel	petit	petit	niveau	jeune	Luisa	Zélande	דינים	Caucasien	Popova	état	faire
6	développement	ויכוחים	introduire	Falcão	1812	Tampico	communauté	sel	devenir	travail	xvii	public	palestinien	orient2009	réserve	avantage	état	Afrique2009	innocenter	devenir	occidental	avantage	eau	Lambesis	bureau	Abertzalea	Lanka	Stefanova	Europe	grand
7	États-Unis	glandsle	nécessaire	perron	lien	gisant	grand	état	grand	xvii	école	réduction	contre	Vikkouhim	facilement	États-Unis	petit	Libni	aucun	public	parlement	organisation	international	Bogandé	Shilling	nakhota	Union	Margarita	grand	général
8	communauté	vainqueuren	Suisse	Lambkin	Alaska	surveillance	membre	contre	eau	école	jeu	1951	Europe	européenne2009	fonction	œuvre	région	carottesle	retirer	organisation	devenir	devenir	membre	mortuaire	Kory	Massaot	Canaan	bsp	contre	France
9	pétrole	1926otzar	communauté	gibier	nourriture	Bossuet	niveau	dentaire	faire	grand	New	évident	américain	déstabiliser	Asheboro	fonction	bien	Syrie	10	utiliser	organisation	bien	niveau	lesbien	Carlston	פירושים	parlement	Océanie2009	région	an
