	PCA_ncomponents_100.tsv	LocallyLinearEmbedding_ncomponents_100.tsv	VarianceThreshold_threshold_0.02.tsv	NMF_ncomponents_100.tsv	w2v
0	consiste	consiste	26,4	contrebatterie	initialement
1	contrebatterie	artillerie	batterie	consiste	Movie
2	batterie	batterie	consiste	ennemi	transférer
3	artillerie	contrebatterie	contrebatterie	artillerie	station
4	ennemi	ennemi	bidon	batterie	disponible
5	neutraliser	neutraliser	artillerie	radar	mouvement
6	adversaire	contre	adversaire	genevois	dénonciation
7	26,4	but	neuf	neutraliser	RHK
8	essence	fisc	tir	Gaio»	cancel
9	explosif	urbanisme	wagon	dizaine	opera
