	PCA_ncomponents_100	PPMI_PCA_ncomponents_100	PPMI_add1_PCA_ncomponents_100	PPMI_LocallyLinearEmbedding_ncomponents_100	PPMI_add1_LocallyLinearEmbedding_ncomponents_100	LocallyLinearEmbedding_ncomponents_100	PPMI_add1_MDS_ncomponents_100	PPMI_MDS_ncomponents_100	MDS_ncomponents_100	simpleCount	PPMI_VarianceThreshold_threshold_005	PPMI_add1_VarianceThreshold_threshold_0005	VarianceThreshold_threshold_05	VarianceThreshold_threshold_04	VarianceThreshold_threshold_01	PPMI_add1_VarianceThreshold_threshold_0001	PPMI_VarianceThreshold_threshold_001	PPMI_VarianceThreshold_threshold_015	VarianceThreshold_threshold_03	VarianceThreshold_threshold_02	PPMI_add1_VarianceThreshold_threshold_001	VarianceThreshold_threshold_0001	VarianceThreshold_threshold_0005	VarianceThreshold_threshold_002	VarianceThreshold_threshold_001	VarianceThreshold_threshold_005	PPMI_VarianceThreshold_threshold_01	PPMI_VarianceThreshold_threshold_03	PPMI_VarianceThreshold_threshold_02	PPMI_VarianceThreshold_threshold_04	PPMI_add1_NMF_ncomponents_100	NMF_ncomponents_100	PPMI_NMF_ncomponents_100	PPMI_add1	PPMI	w2v
0	200	R-2M-2R-2M-2R-2M	200	proximité	septembre	économiser	Royal	franc-maçon	Carmen	200	r	niveau	huitième	euro	population	auparavant	alterner	Lower	euro	Elia	niveau	auparavant	auparavant	200	auparavant	niveau	niveau	aller	mensuel	aller	200	niveau	niveau	200	endommager	nœud
1	niveau	niveaux).dans	niveaux).dans	poste	inférieur	Sitia	Portail	explique	blanchisserie	auparavant	camionnette	rangée	tourne	fiscal	1821	banlieue	endommager	niveau	fiscal	Joseph	Villèle	200	200	rangée	200	réserver	200	vol	prélèvement	vol	niveaux).dans	R-2M-2R-2M-2R-2M	200	auparavant	alterner	administratif
2	auparavant	01h00	réserver	nom	paquet	bois-normand-près-lyre	servir	sélectionneur	rédaction	01h00	alterner	supérieur	Nomismatokopío	inaugurer	Joseph	modèle	200	Orchard	2).La	réserver	réserver	01h00	01h00	extérieur	réserver	Henk	rame	total	60	total	Green	auparavant	exploiter	endommager	remorque	agriculture
3	entièrement	alterner	01h00	coupe	16	en).dissolution	Tchekhov	personne	lorsqu’	endommager	banlieue	modèle	niveau	2).La	Physical	entièrement	camionnette	rangée	inaugurer	naître	niveaux).dans	entièrement	départemental	livrer	départemental	Vicence	auparavant	provocateur	revaloriser	provocateur	2).La	01h00	comparer	niveau	camionnette	jonction
4	réserver	Kavouri	auparavant	rompre	procéder	200	visiteur	trafic	1965.tous	entièrement	composé	réserver	métro	opérer	1946	rangée	auparavant	200	000	2004	Green	réserver	94	composé	94	Green	réserver	en).dissolution	commerce	en).dissolution	+	autocar	niveaux).dans	alterner	200	87351
5	01h00	remorque	niveau	climat	circonscription	pôle	Psychiko	équivalent	430	réserver	200	auparavant	beaucoup	000	moral	vitrine	moteur	pénétrer	voiture	100	1821	composé	réserver	train	niveau	200	train	football	PDF	football	rangée	48,5	94	réserver	moteur	service
6	Green	200	entièrement	rangée	économique	fait	Honneur8	2016	ensptt.il	composé	remorque	200	6	rétroactif	André	densha	composé	01h00	extérieur	population	Elsevier	rame	rame	新幹線E1系電車	modèle	André	camionnette	neuf	Michel	neuf	densha	Leekens	75,2	composé	auparavant	italien
7	niveaux).dans	camionnette	camionnette	gravier	Velázquez	rave	annéele	lancement	Esther	rame	endommager	livrer	départager	mai	1920	circuler	banlieue	East	beaucoup	1946	200	endommager	modèle	capacité	entièrement	Vénétie	01h00	You	guérir	You	réserver	endetter	départemental	camionnette	composé	réforme
8	endommager	composé	Green	pionnier	remaniement	1992	conseiller	conduite	200	niveau	bloquer	rame	réservation	revenu	Green	shinkansen	remorque	banlieue	livrer	200	Metallurgy	modèle	niveau	exploiter	48,5	Bolhuis	rangée	fonder	fontaine	fonder	propose	cartographie	réserver	01h00	R-2M-2R-2M-2R-2M	milieu
9	alterner	endommager	R-2M-2R-2M-2R-2M	anglo-saxon	tandis	susceptible	mme	Lattice	convoi	modèle	niveau	train	tournoi	livrer	réserver	100	bloquer	train	métro	page	Physical	niveau	48,5	initialement	75,2	Joseph	briser	Attica	censer	Attica	réservation	comparer	rame	rangée	niveau	police
