	PCA_ncomponents_100	PPMI_PCA_ncomponents_100	PPMI_add1_PCA_ncomponents_100	PPMI_LocallyLinearEmbedding_ncomponents_100	PPMI_add1_LocallyLinearEmbedding_ncomponents_100	LocallyLinearEmbedding_ncomponents_100	PPMI_add1_MDS_ncomponents_100	PPMI_MDS_ncomponents_100	MDS_ncomponents_100	simpleCount	PPMI_add1_VarianceThreshold_threshold_0005	VarianceThreshold_threshold_05	VarianceThreshold_threshold_01	PPMI_add1_VarianceThreshold_threshold_0001	PPMI_VarianceThreshold_threshold_001	VarianceThreshold_threshold_03	PPMI_add1_VarianceThreshold_threshold_001	VarianceThreshold_threshold_0001	PPMI_VarianceThreshold_threshold_0001	VarianceThreshold_threshold_002	VarianceThreshold_threshold_001	PPMI_VarianceThreshold_threshold_01	PPMI_VarianceThreshold_threshold_03	PPMI_VarianceThreshold_threshold_02	PPMI_add1_NMF_ncomponents_100	NMF_ncomponents_100	PPMI_NMF_ncomponents_100	PPMI	PPMI_add1
0	détracteur	détracteur	détracteur	terme	détracteur	antiraciste	mouvement	désigner	désigner	terme	détracteur	verger	verger	terme	terme	verger	terme	terme	terme	désigner	désigner	terme	naître	terme	détracteur	détracteur	détracteur	terme	terme
1	désigner	terme	désigner	utiliser	antiraciste	détracteur	vandalisme	terme	utiliser	utiliser	désigner	Angleterre	Angleterre	utiliser	utiliser	Angleterre	associer	utiliser	utiliser	mouvement	détracteur	utiliser	facto	désigner	associer	Ifop	utiliser	utiliser	utiliser
2	associer	utiliser	utiliser	pose	comparaison	comparaison	terme	utiliser	détracteur	détracteur	utiliser	fin	fin	détracteur	détracteur	fin	censure	détracteur	détracteur	détracteur	utiliser	détracteur	existe	utiliser	censure	désigner	terme	détracteur	détracteur
3	utiliser	désigner	terme	comparaison	pose	pose	venir	antiraciste	associer	désigner	terme	1904	1904	désigner	associer	1904	détracteur	désigner	associer	utiliser	terme	associer	2	détracteur	désigner	associer	associer	associer	désigner
4	mouvement	associer	associer	revanche	Strauch	anti-américanisme	presse	associer	presse	antiraciste	mouvement	comportement	comportement	antiraciste	antiraciste	comportement	Ifop	antiraciste	antiraciste	associer	mouvement	antiraciste	social	venir	utiliser	antiraciste	désigner	antiraciste	antiraciste
5	antiraciste	mouvement	mouvement	moteur	1939	justifiée	désigner	détracteur	mouvement	associer	venir	négatif	négatif	associer	désigner	négatif	vandalisme	associer	désigner	censure	censure	désigner	Biancoli1938	mouvement	mouvement	mouvement	vandalisme	désigner	associer
6	terme	antiraciste	antiraciste	évolue	Laetitia	considérer	associer	censure	femme	mouvement	associer	occupe	occupe	mouvement	mouvement	occupe	mouvement	mouvement	mouvement	venir	associer	mouvement	banissement	antiraciste	terme	utiliser	mouvement	mouvement	mouvement
7	censure	censure	censure	antiraciste	substantif	désigner	détracteur	Bréchard	bien	venir	censure	isbn	isbn	venir	venir	isbn	venir	venir	venir	terme	antiraciste	pose	SF	censure	antiraciste	terme	destruction	venir	venir
8	vandalisme	vandalisme	vandalisme	détracteur	correspondre	utiliser	ancien	destruction	Malasomma	censure	antiraciste	substantif	substantif	censure	vandalisme	substantif	déboulonnage	censure	vandalisme	antiraciste	venir	comparaison	création	associer	immigrant	censure	immigrant	vandalisme	censure
9	venir	presse	venir	gouvernement	radar	radar	utiliser	super	antiraciste	vandalisme	vandalisme	xvii	xvii	vandalisme	presse	xvii	sondage	vandalisme	presse	effrayant	vandalisme	venir	confirmation	pratique	consacrer	vandalisme	consacrer	presse	vandalisme
